date,amount,vendor,classes
2025-08-01,3514.0,priya Vegitables Chalai CAFE,1
2025-08-01,42310.0,Amma vegetables cdh,2
2025-08-01,74303.0,Amma vegetables cdh,2
2025-08-01,7697.3,Milan Agencies,2
2025-08-02,7449.0,Milan Agencies,3
2025-08-01,69357.0,Priya Vegitables Chalai CDH,3
2025-08-02,33920.0,Ponmudi gas CDH,3
2025-08-01,8690.5,Milan Agencies,3
2025-07-29,4966.0,Milan Agencies,3
2025-08-02,7449.0,Milan Agencies,3
2025-08-01,25170.0,Amma Vegitables cdh,3
2025-08-02,17585.0,Fathima Chicken Vithura CDH,3
2025-08-02,720.0,Cash Voucher CDH,2
2025-08-02,1900.0,Cash Voucher CDH,2
2025-08-06,4550.0,Dinu Bakery CDH,2
2025-08-05,3600.0,Dinu Bakery CDH,2
2025-08-05,11815.0,Amma vegetables cdh,2
2025-08-07,32497.4,Amma vegetables cdh,2
2025-08-08,100291.0,Amma vegetables cdh,2
2025-08-06,17750.0,Amma vegetables cdh,3
2025-08-05,85863.9,Amma vegetables cdh,2
2025-08-08,17750.0,Amma vegetables cdh,2
2025-08-04,25851.0,Amma vegetables cdh,2
2025-08-02,20382.0,Star Bakery CDH,2
2025-08-04,7449.0,Milan Agencies,3
2025-08-05,8938.8,Milan Agencies,2
2025-08-09,8690.5,Milan Agencies,2
2025-08-08,11173.5,Milan Agencies,2
2025-08-06,8690.5,Milan Agencies,2
2025-08-07,8690.5,Milan Agencies,2
2025-08-03,9187.1,Milan Agencies,2
2025-08-05,42400.0,Ponmudi gas CDH,2
2025-08-07,19080.0,Mani Stores CDH,2
2025-08-06,9660.0,Rahul Stores CDH,2
2025-08-06,1240.0,Magom Rice&Flowermill CDH,2
2025-08-06,5040.0,Lilium Concepts CDH,3
2025-08-05,4970.0,Sabhalam enterprises CDH,2
2025-08-07,5870.0,Sabhalam enterprises CDH,2
2025-08-04,8500.0,Ponnus pappadam CDH,3
2025-08-06,520.0,magom rice flowermill cdh_1cafe,2
2025-08-06,520.0,magom rice flowermill cdh_1cafe,2
2025-08-01,5008.0,Star Bakery,1
2025-08-07,4770.0,Mani egg store /cafe,1
2025-08-08,12337.0,Amma vegetables cdh,2
2025-08-05,8373.0,Sabhalam enterprises CDH,2
2025-08-07,6488.5,Sabhalam enterprises CDH,2
2025-08-06,149250.0,Rahul Stores CDH,3
2025-08-06,120350.0,Rahul Stores CDH,3
2025-08-06,84156.0,Rahul Stores CDH,3
2025-08-07,74410.0,Rahul Stores CDH,3
2025-08-06,60990.0,Rahul Stores CDH,3
2025-08-04,8500.0,Ponnus Papadam CDH,3
2025-08-06,5040.0,Lilium Concepts CDH,3
2025-08-05,105648.0,Priya Vegitables Chalai CDH,3
2025-08-08,75336.0,Priya Vegitables Chalai CDH,3
2025-08-07,17520.0,Amma Vegitables cdh,3
2025-08-08,5831.0,Amma Vegitables cdh,3
2025-08-04,6223.0,Amma Vegitables cdh,3
2025-08-06,17750.0,Amma Vegitables cdh,3
2025-08-05,69857.0,Amma Vegitables cdh,3
2025-08-05,5782.0,Amma Vegitables cdh,3
2025-08-05,33920.0,Ponmudi gas CDH,3
2025-08-06,1040.0,Magom Rice Flowermill CDH,3
2025-08-07,23238.0,Fathima Chicken Vithura CDH,3
2025-08-04,21146.0,Fathima Chicken Vithura CDH,3
2025-08-03,14580.0,Gomathy Egg Stores CDH,3
2025-08-06,5950.0,Dinu Bakery CDH,3
2025-08-05,6330.0,Dinu Bakery CDH,3
2025-08-07,7925.0,Sabhalam enterprises CDH,3
2025-08-05,6340.0,Sabhalam enterprises CDH,3
2025-08-03,7449.0,Milan Agencies,3
2025-08-07,9932.0,Milan Agencies,3
2025-08-04,7449.0,Milan Agencies,3
2025-08-06,7449.0,Milan Agencies,3
2025-08-08,7449.0,Milan Agencies,3
2025-08-05,9932.0,Milan Agencies,3
2025-08-05,1080.0,priya Vegitables Chalai CAFE,1
