date,amount,vendor,classes
2023-01-01,3224.8,BuildBase Steel,LOGISTICS
2023-01-01,4342.19,ConcreteMix Co,LOGISTICS
2023-01-01,3050.51,FuelExpress,SAFETY_OFFICE
2023-01-01,697.73,ConcreteMix Co,SAFETY_OFFICE
2023-01-01,1224.86,BuildBase Steel,SITE_A
2023-01-01,1151.55,ConcreteMix Co,SITE_A
2023-01-01,1542.43,HeavyLift Rentals,SITE_B
2023-01-01,1890.36,FuelExpress,SITE_B
2023-01-02,9049.87,ConcreteMix Co,LOGISTICS
2023-01-02,2625.29,FuelExpress,SAFETY_OFFICE
2023-01-02,3063.49,BuildBase Steel,SAFETY_OFFICE
2023-01-02,1439.63,BuildBase Steel,SITE_A
2023-01-02,889.49,ConcreteMix Co,SITE_A
2023-01-02,1133.3,BuildBase Steel,SITE_B
2023-01-02,249.02,ConcreteMix Co,SITE_B
2023-01-03,406.98,BuildBase Steel,LOGISTICS
2023-01-03,1968.9,ConcreteMix Co,LOGISTICS
2023-01-03,3986.38,FuelExpress,SAFETY_OFFICE
2023-01-03,2281.42,ToolTime,SAFETY_OFFICE
2023-01-03,1581.34,FuelExpress,SITE_A
2023-01-03,1292.35,BuildBase Steel,SITE_B
2023-01-03,763.82,ConcreteMix Co,SITE_B
2023-01-04,1481.56,HeavyLift Rentals,LOGISTICS
2023-01-04,499.99,FuelExpress,LOGISTICS
2023-01-04,4952.5,ToolTime,LOGISTICS
2023-01-04,2576.63,ConcreteMix Co,SAFETY_OFFICE
2023-01-04,4896.66,BuildBase Steel,SITE_A
2023-01-04,5486.03,ConcreteMix Co,SITE_A
2023-01-04,1424.2,FuelExpress,SITE_B
2023-01-04,547.0,ToolTime,SITE_B
2023-01-05,341.9,HeavyLift Rentals,LOGISTICS
2023-01-05,4989.61,FuelExpress,LOGISTICS
2023-01-05,6818.65,BuildBase Steel,SAFETY_OFFICE
2023-01-05,796.65,ConcreteMix Co,SAFETY_OFFICE
2023-01-05,526.37,ConcreteMix Co,SITE_A
2023-01-05,3358.27,ToolTime,SITE_B
2023-01-06,1451.49,ConcreteMix Co,LOGISTICS
2023-01-06,11833.06,FuelExpress,SAFETY_OFFICE
2023-01-06,2467.13,ConcreteMix Co,SAFETY_OFFICE
2023-01-06,3661.93,SafeGuards Inc,SITE_A
2023-01-06,3854.85,HeavyLift Rentals,SITE_B
2023-01-06,250.86,ConcreteMix Co,SITE_B
2023-01-07,1923.93,FuelExpress,LOGISTICS
2023-01-07,4452.05,ConcreteMix Co,LOGISTICS
2023-01-07,680.9,HeavyLift Rentals,SAFETY_OFFICE
2023-01-07,640.77,BuildBase Steel,SAFETY_OFFICE
2023-01-07,2908.65,HeavyLift Rentals,SITE_A
2023-01-07,2666.73,FuelExpress,SITE_A
2023-01-07,1860.78,BuildBase Steel,SITE_B
2023-01-08,553.22,BuildBase Steel,LOGISTICS
2023-01-08,1593.44,ConcreteMix Co,LOGISTICS
2023-01-08,3780.54,ToolTime,SAFETY_OFFICE
2023-01-08,7265.61,SafeGuards Inc,SITE_A
2023-01-08,596.07,ToolTime,SITE_A
2023-01-08,2075.52,ConcreteMix Co,SITE_A
2023-01-08,13705.26,HeavyLift Rentals,SITE_B
2023-01-08,1833.49,ToolTime,SITE_B
2023-01-09,958.87,FuelExpress,LOGISTICS
2023-01-09,2301.85,BuildBase Steel,LOGISTICS
2023-01-09,430.39,ConcreteMix Co,LOGISTICS
2023-01-09,4589.24,SafeGuards Inc,SAFETY_OFFICE
2023-01-09,889.9,BuildBase Steel,SAFETY_OFFICE
2023-01-09,723.54,HeavyLift Rentals,SITE_A
2023-01-09,2275.99,FuelExpress,SITE_A
2023-01-09,3621.65,HeavyLift Rentals,SITE_B
2023-01-10,427.36,HeavyLift Rentals,LOGISTICS
2023-01-10,1677.08,FuelExpress,LOGISTICS
2023-01-10,474.51,ToolTime,LOGISTICS
2023-01-10,1991.63,HeavyLift Rentals,SAFETY_OFFICE
2023-01-10,3152.93,ConcreteMix Co,SAFETY_OFFICE
2023-01-10,835.88,FuelExpress,SITE_A
2023-01-10,1554.58,BuildBase Steel,SITE_B
2023-01-10,3057.45,ConcreteMix Co,SITE_B
2023-01-11,1810.67,HeavyLift Rentals,LOGISTICS
2023-01-11,730.27,FuelExpress,LOGISTICS
2023-01-11,2503.21,BuildBase Steel,SAFETY_OFFICE
2023-01-11,529.48,SafeGuards Inc,SAFETY_OFFICE
2023-01-11,1545.82,ToolTime,SAFETY_OFFICE
2023-01-11,1315.65,BuildBase Steel,SITE_A
2023-01-11,938.02,HeavyLift Rentals,SITE_B
2023-01-11,4664.36,BuildBase Steel,SITE_B
2023-01-12,1043.06,BuildBase Steel,LOGISTICS
2023-01-12,1049.22,ConcreteMix Co,LOGISTICS
2023-01-12,3220.65,HeavyLift Rentals,SAFETY_OFFICE
2023-01-12,2693.72,FuelExpress,SAFETY_OFFICE
2023-01-12,1062.93,HeavyLift Rentals,SITE_A
2023-01-12,4515.19,FuelExpress,SITE_B
2023-01-12,1029.93,ConcreteMix Co,SITE_B
2023-01-13,1369.77,HeavyLift Rentals,LOGISTICS
2023-01-13,1385.48,FuelExpress,LOGISTICS
2023-01-13,514.43,BuildBase Steel,SAFETY_OFFICE
2023-01-13,11234.61,ConcreteMix Co,SAFETY_OFFICE
2023-01-13,19751.43,FuelExpress,SITE_A
2023-01-13,15052.34,SafeGuards Inc,SITE_A
2023-01-13,193.43,SafeGuards Inc,SITE_B
2023-01-13,1608.73,ConcreteMix Co,SITE_B
2023-01-14,261.38,HeavyLift Rentals,LOGISTICS
2023-01-14,12685.61,FuelExpress,LOGISTICS
2023-01-14,1869.45,HeavyLift Rentals,SAFETY_OFFICE
2023-01-14,1334.58,FuelExpress,SAFETY_OFFICE
2023-01-14,3197.59,SafeGuards Inc,SAFETY_OFFICE
2023-01-14,8362.01,SafeGuards Inc,SITE_A
2023-01-14,1674.08,HeavyLift Rentals,SITE_B
2023-01-14,1708.18,BuildBase Steel,SITE_B
2023-01-15,20098.84,HeavyLift Rentals,LOGISTICS
2023-01-15,1766.65,FuelExpress,LOGISTICS
2023-01-15,766.68,FuelExpress,SAFETY_OFFICE
2023-01-15,552.79,HeavyLift Rentals,SITE_A
2023-01-15,1754.55,BuildBase Steel,SITE_A
2023-01-15,2020.72,SafeGuards Inc,SITE_B
2023-01-15,3431.87,ConcreteMix Co,SITE_B
2023-01-16,17033.14,HeavyLift Rentals,LOGISTICS
2023-01-16,1897.54,FuelExpress,LOGISTICS
2023-01-16,902.77,BuildBase Steel,SAFETY_OFFICE
2023-01-16,4986.8,ConcreteMix Co,SAFETY_OFFICE
2023-01-16,897.97,BuildBase Steel,SITE_A
2023-01-16,3545.04,ConcreteMix Co,SITE_A
2023-01-16,4164.55,SafeGuards Inc,SITE_B
2023-01-16,14050.08,ConcreteMix Co,SITE_B
2023-01-17,816.01,BuildBase Steel,LOGISTICS
2023-01-17,5173.14,ConcreteMix Co,LOGISTICS
2023-01-17,3514.13,FuelExpress,SAFETY_OFFICE
2023-01-17,149.79,BuildBase Steel,SAFETY_OFFICE
2023-01-17,686.67,HeavyLift Rentals,SITE_A
2023-01-17,1011.69,FuelExpress,SITE_A
2023-01-17,1505.05,HeavyLift Rentals,SITE_B
2023-01-17,25889.84,FuelExpress,SITE_B
2023-01-17,4008.02,ConcreteMix Co,SITE_B
2023-01-18,509.99,SafeGuards Inc,LOGISTICS
2023-01-18,1725.01,ConcreteMix Co,LOGISTICS
2023-01-18,343.71,HeavyLift Rentals,SAFETY_OFFICE
2023-01-18,2208.62,SafeGuards Inc,SAFETY_OFFICE
2023-01-18,1147.41,ToolTime,SAFETY_OFFICE
2023-01-18,485.56,HeavyLift Rentals,SITE_A
2023-01-18,686.87,BuildBase Steel,SITE_A
2023-01-18,566.15,SafeGuards Inc,SITE_A
2023-01-18,1905.01,HeavyLift Rentals,SITE_B
2023-01-18,4377.7,FuelExpress,SITE_B
2023-01-19,814.53,HeavyLift Rentals,LOGISTICS
2023-01-19,1992.74,FuelExpress,LOGISTICS
2023-01-19,2371.99,BuildBase Steel,SAFETY_OFFICE
2023-01-19,6616.97,ConcreteMix Co,SAFETY_OFFICE
2023-01-19,1349.75,SafeGuards Inc,SITE_A
2023-01-19,9998.32,BuildBase Steel,SITE_B
2023-01-19,2926.77,ConcreteMix Co,SITE_B
2023-01-20,5676.56,ToolTime,LOGISTICS
2023-01-20,350.9,HeavyLift Rentals,SAFETY_OFFICE
2023-01-20,1469.69,SafeGuards Inc,SAFETY_OFFICE
2023-01-20,10540.62,BuildBase Steel,SITE_A
2023-01-20,1873.18,ConcreteMix Co,SITE_A
2023-01-20,12692.8,HeavyLift Rentals,SITE_B
2023-01-20,2093.27,FuelExpress,SITE_B
2023-01-20,634.91,ToolTime,SITE_B
2023-01-21,661.38,HeavyLift Rentals,LOGISTICS
2023-01-21,324.98,FuelExpress,LOGISTICS
2023-01-21,680.83,BuildBase Steel,SAFETY_OFFICE
2023-01-21,1195.38,ConcreteMix Co,SAFETY_OFFICE
2023-01-21,1021.08,HeavyLift Rentals,SITE_A
2023-01-21,1940.75,FuelExpress,SITE_A
2023-01-21,1084.18,BuildBase Steel,SITE_B
2023-01-21,2655.78,ConcreteMix Co,SITE_B
2023-01-22,1553.13,BuildBase Steel,LOGISTICS
2023-01-22,1088.97,ConcreteMix Co,LOGISTICS
2023-01-22,4650.29,FuelExpress,SAFETY_OFFICE
2023-01-22,719.86,SafeGuards Inc,SAFETY_OFFICE
2023-01-22,6009.31,ConcreteMix Co,SAFETY_OFFICE
2023-01-22,3128.36,FuelExpress,SITE_A
2023-01-22,2777.72,BuildBase Steel,SITE_A
2023-01-22,8221.73,HeavyLift Rentals,SITE_B
2023-01-22,2509.89,FuelExpress,SITE_B
2023-01-22,1319.44,ConcreteMix Co,SITE_B
2023-01-23,1788.59,HeavyLift Rentals,LOGISTICS
2023-01-23,4903.09,FuelExpress,LOGISTICS
2023-01-23,802.97,BuildBase Steel,SAFETY_OFFICE
2023-01-23,1067.69,ConcreteMix Co,SAFETY_OFFICE
2023-01-23,1528.59,BuildBase Steel,SITE_A
2023-01-23,8328.29,ToolTime,SITE_A
2023-01-23,1037.27,BuildBase Steel,SITE_B
2023-01-23,775.53,ConcreteMix Co,SITE_B
2023-01-24,2034.02,BuildBase Steel,LOGISTICS
2023-01-24,2094.81,ConcreteMix Co,LOGISTICS
2023-01-24,1730.07,HeavyLift Rentals,SAFETY_OFFICE
2023-01-24,846.64,HeavyLift Rentals,SITE_A
2023-01-24,11339.58,SafeGuards Inc,SITE_A
2023-01-24,3438.06,BuildBase Steel,SITE_A
2023-01-24,956.48,HeavyLift Rentals,SITE_B
2023-01-24,2328.28,ConcreteMix Co,SITE_B
2023-01-25,628.33,BuildBase Steel,LOGISTICS
2023-01-25,3681.37,SafeGuards Inc,LOGISTICS
2023-01-25,267.31,ConcreteMix Co,LOGISTICS
2023-01-25,5161.7,HeavyLift Rentals,SAFETY_OFFICE
2023-01-25,1021.5,FuelExpress,SAFETY_OFFICE
2023-01-25,4215.84,FuelExpress,SITE_A
2023-01-25,1999.83,ConcreteMix Co,SITE_A
2023-01-25,674.16,BuildBase Steel,SITE_B
2023-01-25,1785.21,ConcreteMix Co,SITE_B
2023-01-26,1462.04,ToolTime,LOGISTICS
2023-01-26,7209.94,HeavyLift Rentals,SAFETY_OFFICE
2023-01-26,965.16,FuelExpress,SAFETY_OFFICE
2023-01-26,582.81,BuildBase Steel,SITE_A
2023-01-26,9181.71,HeavyLift Rentals,SITE_B
2023-01-26,1669.08,BuildBase Steel,SITE_B
2023-01-27,626.22,FuelExpress,LOGISTICS
2023-01-27,841.84,BuildBase Steel,LOGISTICS
2023-01-27,5555.26,FuelExpress,SAFETY_OFFICE
2023-01-27,48572.54,BuildBase Steel,SAFETY_OFFICE
2023-01-27,13648.73,ConcreteMix Co,SAFETY_OFFICE
2023-01-27,384.7,BuildBase Steel,SITE_A
2023-01-27,3541.26,SafeGuards Inc,SITE_A
2023-01-27,893.58,ToolTime,SITE_A
2023-01-27,1435.13,HeavyLift Rentals,SITE_B
2023-01-27,562.23,FuelExpress,SITE_B
2023-01-28,2619.11,BuildBase Steel,LOGISTICS
2023-01-28,876.13,ConcreteMix Co,LOGISTICS
2023-01-28,1059.67,HeavyLift Rentals,SAFETY_OFFICE
2023-01-28,2435.16,BuildBase Steel,SAFETY_OFFICE
2023-01-28,2380.38,ToolTime,SAFETY_OFFICE
2023-01-28,585.64,HeavyLift Rentals,SITE_A
2023-01-28,2483.12,FuelExpress,SITE_A
2023-01-28,1807.1,SafeGuards Inc,SITE_B
2023-01-29,1128.53,HeavyLift Rentals,LOGISTICS
2023-01-29,1589.28,SafeGuards Inc,LOGISTICS
2023-01-29,1991.44,FuelExpress,LOGISTICS
2023-01-29,1213.91,BuildBase Steel,SAFETY_OFFICE
2023-01-29,1329.17,ConcreteMix Co,SAFETY_OFFICE
2023-01-29,3388.1,HeavyLift Rentals,SITE_A
2023-01-29,1349.26,BuildBase Steel,SITE_A
2023-01-29,926.12,ConcreteMix Co,SITE_A
2023-01-29,800.41,HeavyLift Rentals,SITE_B
2023-01-29,2879.8,ConcreteMix Co,SITE_B
2023-01-30,717.27,BuildBase Steel,LOGISTICS
2023-01-30,1358.57,ConcreteMix Co,LOGISTICS
2023-01-30,1502.71,FuelExpress,SAFETY_OFFICE
2023-01-30,32383.2,SafeGuards Inc,SAFETY_OFFICE
2023-01-30,1772.83,ConcreteMix Co,SAFETY_OFFICE
2023-01-30,10340.24,BuildBase Steel,SITE_A
2023-01-30,1036.9,ConcreteMix Co,SITE_A
2023-01-30,3757.78,ToolTime,SITE_A
2023-01-30,1066.49,BuildBase Steel,SITE_B
2023-01-30,4642.63,ConcreteMix Co,SITE_B
2023-01-31,2028.29,SafeGuards Inc,LOGISTICS
2023-01-31,1544.77,SafeGuards Inc,SAFETY_OFFICE
2023-01-31,5512.4,ToolTime,SAFETY_OFFICE
2023-01-31,2503.08,BuildBase Steel,SITE_A
2023-01-31,1424.0,ConcreteMix Co,SITE_A
2023-01-31,3053.99,BuildBase Steel,SITE_B
2023-01-31,11513.87,SafeGuards Inc,SITE_B
2023-01-31,1942.39,ConcreteMix Co,SITE_B
2023-02-01,8815.18,HeavyLift Rentals,LOGISTICS
2023-02-01,36084.67,BuildBase Steel,LOGISTICS
2023-02-01,27473.65,ConcreteMix Co,LOGISTICS
2023-02-01,2191.58,BuildBase Steel,SAFETY_OFFICE
2023-02-01,5396.51,ConcreteMix Co,SAFETY_OFFICE
2023-02-01,7839.43,BuildBase Steel,SITE_A
2023-02-01,1361.65,ToolTime,SITE_A
2023-02-01,313.79,HeavyLift Rentals,SITE_B
2023-02-01,2323.62,FuelExpress,SITE_B
2023-02-02,701.06,HeavyLift Rentals,LOGISTICS
2023-02-02,1778.59,SafeGuards Inc,LOGISTICS
2023-02-02,628.37,ToolTime,LOGISTICS
2023-02-02,4271.45,HeavyLift Rentals,SAFETY_OFFICE
2023-02-02,11056.06,FuelExpress,SAFETY_OFFICE
2023-02-02,2044.22,ConcreteMix Co,SITE_A
2023-02-02,1142.24,FuelExpress,SITE_B
2023-02-02,803.71,BuildBase Steel,SITE_B
2023-02-03,955.12,BuildBase Steel,LOGISTICS
2023-02-03,2992.34,ToolTime,SAFETY_OFFICE
2023-02-03,2806.22,ToolTime,SITE_A
2023-02-03,1521.94,HeavyLift Rentals,SITE_B
2023-02-03,1906.62,FuelExpress,SITE_B
2023-02-04,3808.89,FuelExpress,LOGISTICS
2023-02-04,12539.57,BuildBase Steel,LOGISTICS
2023-02-04,1940.95,BuildBase Steel,SAFETY_OFFICE
2023-02-04,6565.68,ConcreteMix Co,SAFETY_OFFICE
2023-02-04,938.45,HeavyLift Rentals,SITE_A
2023-02-04,2390.66,FuelExpress,SITE_A
2023-02-04,1434.64,BuildBase Steel,SITE_B
2023-02-04,758.37,ConcreteMix Co,SITE_B
2023-02-05,1529.68,FuelExpress,LOGISTICS
2023-02-05,373.43,BuildBase Steel,LOGISTICS
2023-02-05,1825.56,ConcreteMix Co,LOGISTICS
2023-02-05,1582.82,FuelExpress,SAFETY_OFFICE
2023-02-05,1342.44,FuelExpress,SITE_A
2023-02-05,905.09,ConcreteMix Co,SITE_A
2023-02-05,4453.61,HeavyLift Rentals,SITE_B
2023-02-05,6715.25,FuelExpress,SITE_B
2023-02-06,1163.14,ToolTime,LOGISTICS
2023-02-06,3466.86,FuelExpress,SAFETY_OFFICE
2023-02-06,1620.9,BuildBase Steel,SAFETY_OFFICE
2023-02-06,6463.8,FuelExpress,SITE_A
2023-02-06,10092.99,FuelExpress,SITE_B
2023-02-06,778.47,ConcreteMix Co,SITE_B
2023-02-07,7455.09,HeavyLift Rentals,LOGISTICS
2023-02-07,5911.54,SafeGuards Inc,LOGISTICS
2023-02-07,1919.83,HeavyLift Rentals,SAFETY_OFFICE
2023-02-07,1393.88,SafeGuards Inc,SAFETY_OFFICE
2023-02-07,1632.59,ConcreteMix Co,SAFETY_OFFICE
2023-02-07,1147.03,HeavyLift Rentals,SITE_A
2023-02-07,1056.65,HeavyLift Rentals,SITE_B
2023-02-07,1350.09,FuelExpress,SITE_B
2023-02-08,1431.87,BuildBase Steel,LOGISTICS
2023-02-08,2919.49,ConcreteMix Co,LOGISTICS
2023-02-08,2556.44,ToolTime,SAFETY_OFFICE
2023-02-08,4081.6,HeavyLift Rentals,SITE_A
2023-02-08,6699.57,FuelExpress,SITE_A
2023-02-08,3550.42,FuelExpress,SITE_B
2023-02-08,749.07,BuildBase Steel,SITE_B
2023-02-08,640.73,ConcreteMix Co,SITE_B
2023-02-09,443.39,HeavyLift Rentals,LOGISTICS
2023-02-09,5365.35,FuelExpress,LOGISTICS
2023-02-09,209.03,FuelExpress,SAFETY_OFFICE
2023-02-09,7472.24,SafeGuards Inc,SAFETY_OFFICE
2023-02-09,3722.05,ToolTime,SAFETY_OFFICE
2023-02-09,4072.99,FuelExpress,SITE_A
2023-02-09,1244.99,ToolTime,SITE_A
2023-02-09,1513.33,FuelExpress,SITE_B
2023-02-10,1244.52,HeavyLift Rentals,LOGISTICS
2023-02-10,2200.3,ConcreteMix Co,SAFETY_OFFICE
2023-02-10,2059.95,HeavyLift Rentals,SITE_A
2023-02-10,2210.74,FuelExpress,SITE_B
2023-02-10,2294.72,SafeGuards Inc,SITE_B
2023-02-10,899.59,BuildBase Steel,SITE_B
2023-02-11,1889.51,HeavyLift Rentals,LOGISTICS
2023-02-11,4772.58,FuelExpress,LOGISTICS
2023-02-11,6918.46,BuildBase Steel,SAFETY_OFFICE
2023-02-11,4862.77,ToolTime,SAFETY_OFFICE
2023-02-11,1613.01,HeavyLift Rentals,SITE_A
2023-02-11,4021.09,FuelExpress,SITE_A
2023-02-11,7106.44,FuelExpress,SITE_B
2023-02-11,1653.65,ConcreteMix Co,SITE_B
2023-02-12,680.24,BuildBase Steel,LOGISTICS
