date,amount,vendor,classes
2023-01-01,1612.02,LabQuip,GENERAL_WARD
2023-01-01,4315.31,SterilePro,GENERAL_WARD
2023-01-01,1602.93,MedTech Solutions,ICU
2023-01-01,2975.21,PharmaCorp,ICU
2023-01-01,271.8,MedTech Solutions,LAB
2023-01-01,616.05,PharmaCorp,LAB
2023-01-01,1115.23,MedTech Solutions,PHARMACY
2023-01-01,994.6,PharmaCorp,PHARMACY
2023-01-02,11968.4,OxygenFlow,GENERAL_WARD
2023-01-02,534.7,SterilePro,GENERAL_WARD
2023-01-02,3325.32,PharmaCorp,GENERAL_WARD
2023-01-02,2201.04,LinenServices,ICU
2023-01-02,7167.69,LabQuip,ICU
2023-01-02,3835.71,LinenServices,LAB
2023-01-02,22269.84,MedTech Solutions,LAB
2023-01-02,1208.14,PharmaCorp,LAB
2023-01-02,999.97,MedTech Solutions,PHARMACY
2023-01-02,7476.0,PharmaCorp,PHARMACY
2023-01-03,1509.58,LinenServices,GENERAL_WARD
2023-01-03,8357.57,LabQuip,GENERAL_WARD
2023-01-03,11961.15,MedTech Solutions,ICU
2023-01-03,1445.54,PharmaCorp,ICU
2023-01-03,749.62,OxygenFlow,LAB
2023-01-03,4713.1,PharmaCorp,LAB
2023-01-03,4280.3,SterilePro,LAB
2023-01-03,941.39,MedTech Solutions,PHARMACY
2023-01-03,2624.75,PharmaCorp,PHARMACY
2023-01-04,1754.43,LabQuip,GENERAL_WARD
2023-01-04,675.67,SterilePro,GENERAL_WARD
2023-01-04,5127.87,SterilePro,ICU
2023-01-04,1797.14,LinenServices,LAB
2023-01-04,5596.82,OxygenFlow,LAB
2023-01-04,2824.39,SterilePro,LAB
2023-01-04,1960.41,OxygenFlow,PHARMACY
2023-01-04,3192.98,MedTech Solutions,PHARMACY
2023-01-04,3726.04,SterilePro,PHARMACY
2023-01-05,1562.81,PharmaCorp,GENERAL_WARD
2023-01-05,445.81,SterilePro,GENERAL_WARD
2023-01-05,2482.58,LinenServices,ICU
2023-01-05,2576.17,OxygenFlow,ICU
2023-01-05,1336.52,LinenServices,LAB
2023-01-05,6496.08,SterilePro,LAB
2023-01-05,4204.35,PharmaCorp,LAB
2023-01-05,438.59,MedTech Solutions,PHARMACY
2023-01-05,1222.86,PharmaCorp,PHARMACY
2023-01-06,1284.0,LinenServices,GENERAL_WARD
2023-01-06,428.78,MedTech Solutions,ICU
2023-01-06,15496.63,PharmaCorp,ICU
2023-01-06,1882.97,OxygenFlow,LAB
2023-01-06,299.15,MedTech Solutions,LAB
2023-01-06,355.15,SterilePro,LAB
2023-01-06,881.97,LinenServices,PHARMACY
2023-01-06,1739.42,OxygenFlow,PHARMACY
2023-01-07,20354.2,LabQuip,GENERAL_WARD
2023-01-07,24220.62,SterilePro,GENERAL_WARD
2023-01-07,12232.85,OxygenFlow,ICU
2023-01-07,830.69,SterilePro,ICU
2023-01-07,7295.92,MedTech Solutions,LAB
2023-01-07,4120.76,PharmaCorp,LAB
2023-01-07,581.37,MedTech Solutions,PHARMACY
2023-01-07,3180.54,PharmaCorp,PHARMACY
2023-01-08,1224.29,LabQuip,GENERAL_WARD
2023-01-08,688.25,OxygenFlow,GENERAL_WARD
2023-01-08,5951.82,PharmaCorp,GENERAL_WARD
2023-01-08,431.71,MedTech Solutions,ICU
