date,amount,vendor,classes
2023-01-01,3817.03,SecureNet,EMPLOYEE_LOUNGE
2023-01-01,2204.96,CloudSystems,EMPLOYEE_LOUNGE
2023-01-01,2075.06,CoffeeRoasters,HR
2023-01-01,3802.22,SnackVending,HR
2023-01-01,961.24,OfficeDepot,MARKETING
2023-01-01,2058.43,CloudSystems,SERVER_ROOM
2023-01-02,1015.73,SecureNet,EMPLOYEE_LOUNGE
2023-01-02,1531.95,CloudSystems,EMPLOYEE_LOUNGE
2023-01-02,259.01,CoffeeRoasters,HR
2023-01-02,1254.76,SnackVending,HR
2023-01-02,4547.0,FurnitureDirect,MARKETING
2023-01-02,878.32,SnackVending,MARKETING
2023-01-02,318.16,SecureNet,MARKETING
2023-01-02,1847.6,OfficeDepot,SERVER_ROOM
2023-01-02,1659.26,CloudSystems,SERVER_ROOM
2023-01-03,252.27,SecureNet,EMPLOYEE_LOUNGE
2023-01-03,660.3,CloudSystems,HR
2023-01-03,3557.38,SnackVending,HR
2023-01-03,10932.12,SecureNet,HR
2023-01-03,26331.55,CoffeeRoasters,MARKETING
2023-01-03,10092.54,CoffeeRoasters,SERVER_ROOM
2023-01-03,23010.34,SnackVending,SERVER_ROOM
2023-01-04,3632.77,SecureNet,EMPLOYEE_LOUNGE
2023-01-04,5941.91,CoffeeRoasters,HR
2023-01-04,3037.03,SnackVending,HR
2023-01-04,806.18,SecureNet,MARKETING
2023-01-04,216.22,FurnitureDirect,SERVER_ROOM
2023-01-04,1053.58,OfficeDepot,SERVER_ROOM
2023-01-04,1954.81,SnackVending,SERVER_ROOM
2023-01-05,2788.2,FurnitureDirect,EMPLOYEE_LOUNGE
2023-01-05,3214.36,CloudSystems,EMPLOYEE_LOUNGE
2023-01-05,1207.21,CoffeeRoasters,HR
2023-01-05,768.42,SnackVending,HR
2023-01-05,8986.91,CloudSystems,HR
2023-01-05,618.16,CoffeeRoasters,MARKETING
2023-01-05,3184.76,OfficeDepot,MARKETING
2023-01-05,3307.84,CoffeeRoasters,SERVER_ROOM
2023-01-05,1781.66,SnackVending,SERVER_ROOM
2023-01-06,2072.98,SecureNet,EMPLOYEE_LOUNGE
2023-01-06,2307.46,FurnitureDirect,HR
2023-01-06,456.5,OfficeDepot,HR
2023-01-06,2364.34,SecureNet,MARKETING
2023-01-06,2979.17,CoffeeRoasters,MARKETING
2023-01-06,384.3,CloudSystems,MARKETING
2023-01-06,429.44,CoffeeRoasters,SERVER_ROOM
2023-01-07,6897.2,SecureNet,EMPLOYEE_LOUNGE
2023-01-07,1034.57,CloudSystems,EMPLOYEE_LOUNGE
2023-01-07,2035.09,SecureNet,HR
2023-01-07,1785.93,CloudSystems,HR
2023-01-07,1972.16,SnackVending,MARKETING
2023-01-07,3042.01,CoffeeRoasters,SERVER_ROOM
2023-01-07,2450.25,FurnitureDirect,SERVER_ROOM
2023-01-08,1296.14,CloudSystems,EMPLOYEE_LOUNGE
2023-01-08,3440.24,SecureNet,HR
2023-01-08,3194.75,CloudSystems,HR
2023-01-08,4037.65,CoffeeRoasters,MARKETING
2023-01-08,3198.03,OfficeDepot,MARKETING
2023-01-08,972.11,OfficeDepot,SERVER_ROOM
2023-01-08,6130.36,SnackVending,SERVER_ROOM
2023-01-08,471.05,SecureNet,SERVER_ROOM
2023-01-09,2061.32,CoffeeRoasters,EMPLOYEE_LOUNGE
2023-01-09,4728.3,SnackVending,EMPLOYEE_LOUNGE
2023-01-09,2631.64,OfficeDepot,HR
2023-01-09,915.51,CloudSystems,MARKETING
2023-01-09,1902.26,CoffeeRoasters,SERVER_ROOM
2023-01-09,4942.58,SnackVending,SERVER_ROOM
2023-01-09,12881.02,SecureNet,SERVER_ROOM
2023-01-10,817.6,SecureNet,EMPLOYEE_LOUNGE
2023-01-10,1355.98,CloudSystems,EMPLOYEE_LOUNGE
2023-01-10,698.29,SecureNet,HR
2023-01-10,1969.09,CloudSystems,HR
2023-01-10,1826.02,SecureNet,MARKETING
2023-01-10,262.68,CloudSystems,MARKETING
2023-01-10,2200.13,CoffeeRoasters,SERVER_ROOM
2023-01-10,9222.85,OfficeDepot,SERVER_ROOM
2023-01-10,2096.97,SecureNet,SERVER_ROOM
2023-01-11,4487.3,SecureNet,EMPLOYEE_LOUNGE
2023-01-11,236.87,CloudSystems,EMPLOYEE_LOUNGE
2023-01-11,3210.4,SecureNet,HR
2023-01-11,1692.46,CloudSystems,HR
2023-01-11,263.02,CoffeeRoasters,MARKETING
2023-01-11,1233.17,CoffeeRoasters,SERVER_ROOM
2023-01-11,661.25,CloudSystems,SERVER_ROOM
2023-01-11,648.99,SecureNet,SERVER_ROOM
2023-01-12,5103.85,FurnitureDirect,EMPLOYEE_LOUNGE
2023-01-12,432.67,CoffeeRoasters,HR
2023-01-12,376.14,FurnitureDirect,HR
2023-01-12,551.31,OfficeDepot,HR
2023-01-12,955.26,SecureNet,MARKETING
2023-01-12,4118.98,CloudSystems,MARKETING
2023-01-12,783.88,SecureNet,SERVER_ROOM
2023-01-13,629.63,CoffeeRoasters,EMPLOYEE_LOUNGE
2023-01-13,1003.61,SnackVending,EMPLOYEE_LOUNGE
2023-01-13,3514.25,FurnitureDirect,HR
2023-01-13,2814.71,SnackVending,HR
2023-01-13,2980.75,CoffeeRoasters,MARKETING
2023-01-13,669.64,SnackVending,MARKETING
2023-01-13,1299.57,CoffeeRoasters,SERVER_ROOM
2023-01-13,465.62,OfficeDepot,SERVER_ROOM
2023-01-13,3897.82,SnackVending,SERVER_ROOM
2023-01-14,27811.65,OfficeDepot,EMPLOYEE_LOUNGE
2023-01-14,1794.5,SecureNet,HR
2023-01-14,6808.0,CloudSystems,HR
2023-01-14,3434.03,SnackVending,MARKETING
