date,amount,vendor,classes
2023-01-01,6525.92,Academic Books Ltd,CAFETERIA
2023-01-01,790.05,PrintFast,CAFETERIA
2023-01-01,733.86,CleanIt All,CS_DEPT
2023-01-01,3916.63,TechHardware Inc,CS_DEPT
2023-01-01,387.11,FreshFoods,CS_DEPT
2023-01-01,824.9,PrintFast,LIBRARY
2023-01-01,757.02,Academic Books Ltd,LIBRARY
2023-01-01,2445.3,SportsGear Pro,LIBRARY
2023-01-01,595.73,CleanIt All,SPORTS_CENTER
2023-01-01,5548.42,PrintFast,SPORTS_CENTER
2023-01-01,4027.39,FreshFoods,SPORTS_CENTER
2023-01-02,23247.67,PrintFast,CAFETERIA
2023-01-02,3489.46,TechHardware Inc,CAFETERIA
2023-01-02,4149.61,PrintFast,CS_DEPT
2023-01-02,773.17,TechHardware Inc,CS_DEPT
2023-01-02,720.97,PrintFast,LIBRARY
2023-01-02,521.17,TechHardware Inc,LIBRARY
2023-01-02,9377.27,PrintFast,SPORTS_CENTER
2023-01-03,4542.6,PrintFast,CAFETERIA
2023-01-03,430.74,TechHardware Inc,CAFETERIA
2023-01-03,8236.08,Academic Books Ltd,CS_DEPT
2023-01-03,760.55,PrintFast,CS_DEPT
2023-01-03,1309.75,CleanIt All,LIBRARY
2023-01-03,3050.56,TechHardware Inc,LIBRARY
2023-01-03,831.05,FreshFoods,LIBRARY
2023-01-03,1517.24,Academic Books Ltd,SPORTS_CENTER
2023-01-03,4292.74,PrintFast,SPORTS_CENTER
2023-01-04,338.01,CleanIt All,CAFETERIA
2023-01-04,16054.02,FreshFoods,CAFETERIA
2023-01-04,539.26,CleanIt All,CS_DEPT
2023-01-04,1197.56,FreshFoods,CS_DEPT
2023-01-04,7425.43,PrintFast,LIBRARY
2023-01-04,7885.08,TechHardware Inc,LIBRARY
2023-01-04,5685.72,Academic Books Ltd,SPORTS_CENTER
2023-01-04,2151.01,PrintFast,SPORTS_CENTER
2023-01-05,449.0,PrintFast,CAFETERIA
2023-01-05,1664.51,TechHardware Inc,CAFETERIA
2023-01-05,2335.24,FreshFoods,CAFETERIA
2023-01-05,121.77,PrintFast,CS_DEPT
2023-01-05,168.57,TechHardware Inc,CS_DEPT
2023-01-05,2137.56,Academic Books Ltd,LIBRARY
2023-01-05,1549.88,SportsGear Pro,LIBRARY
2023-01-05,8566.67,TechHardware Inc,LIBRARY
2023-01-05,1441.52,PrintFast,SPORTS_CENTER
2023-01-05,571.53,TechHardware Inc,SPORTS_CENTER
2023-01-06,1395.29,Academic Books Ltd,CAFETERIA
2023-01-06,3029.52,PrintFast,CAFETERIA
2023-01-06,11927.29,CleanIt All,CS_DEPT
2023-01-06,478.21,TechHardware Inc,CS_DEPT
2023-01-06,1543.71,FreshFoods,CS_DEPT
2023-01-06,1408.04,Academic Books Ltd,LIBRARY
2023-01-06,1232.64,PrintFast,LIBRARY
2023-01-06,1999.31,CleanIt All,SPORTS_CENTER
2023-01-06,384.25,SportsGear Pro,SPORTS_CENTER
2023-01-06,22478.42,Academic Books Ltd,SPORTS_CENTER
2023-01-07,2350.39,Academic Books Ltd,CAFETERIA
2023-01-07,1097.2,SportsGear Pro,CAFETERIA
2023-01-07,830.79,TechHardware Inc,CAFETERIA
2023-01-07,4693.64,PrintFast,CS_DEPT
2023-01-07,2378.95,SportsGear Pro,CS_DEPT
2023-01-07,771.64,TechHardware Inc,CS_DEPT
2023-01-07,4828.69,Academic Books Ltd,LIBRARY
2023-01-07,562.29,PrintFast,LIBRARY
2023-01-07,1243.51,CleanIt All,SPORTS_CENTER
2023-01-08,1192.02,CleanIt All,CAFETERIA
2023-01-08,3559.12,SportsGear Pro,CAFETERIA
2023-01-08,595.71,TechHardware Inc,CAFETERIA
2023-01-08,917.11,PrintFast,CS_DEPT
2023-01-08,1446.86,TechHardware Inc,CS_DEPT
2023-01-08,22889.87,PrintFast,LIBRARY
2023-01-08,1917.83,TechHardware Inc,LIBRARY
2023-01-08,2976.64,CleanIt All,SPORTS_CENTER
2023-01-08,497.93,PrintFast,SPORTS_CENTER
2023-01-08,1086.58,FreshFoods,SPORTS_CENTER
2023-01-09,1197.79,CleanIt All,CAFETERIA
2023-01-09,729.15,SportsGear Pro,CAFETERIA
2023-01-09,7835.78,TechHardware Inc,CAFETERIA
2023-01-09,928.71,Academic Books Ltd,CS_DEPT
2023-01-09,446.05,PrintFast,LIBRARY
2023-01-09,1483.69,TechHardware Inc,LIBRARY
2023-01-09,802.11,Academic Books Ltd,SPORTS_CENTER
2023-01-09,5329.11,PrintFast,SPORTS_CENTER
2023-01-10,1009.12,SportsGear Pro,CAFETERIA
2023-01-10,3491.82,TechHardware Inc,CAFETERIA
2023-01-10,2261.5,PrintFast,CS_DEPT
2023-01-10,1870.34,Academic Books Ltd,LIBRARY
2023-01-10,1951.38,PrintFast,LIBRARY
2023-01-10,2171.57,PrintFast,SPORTS_CENTER
2023-01-10,1569.0,TechHardware Inc,SPORTS_CENTER
2023-01-11,403.77,SportsGear Pro,CAFETERIA
2023-01-11,10152.77,FreshFoods,CAFETERIA
2023-01-11,2445.33,Academic Books Ltd,CS_DEPT
2023-01-11,1544.6,PrintFast,CS_DEPT
2023-01-11,767.62,CleanIt All,LIBRARY
2023-01-11,3534.27,PrintFast,LIBRARY
2023-01-11,4706.66,PrintFast,SPORTS_CENTER
2023-01-11,4482.82,TechHardware Inc,SPORTS_CENTER
2023-01-12,3503.05,CleanIt All,CAFETERIA
2023-01-12,2543.72,FreshFoods,CAFETERIA
2023-01-12,7176.25,PrintFast,CS_DEPT
2023-01-12,1767.36,SportsGear Pro,CS_DEPT
2023-01-12,1108.47,FreshFoods,CS_DEPT
2023-01-12,4611.4,Academic Books Ltd,LIBRARY
2023-01-12,680.1,CleanIt All,LIBRARY
2023-01-12,6827.61,TechHardware Inc,LIBRARY
2023-01-12,2279.18,SportsGear Pro,SPORTS_CENTER
2023-01-12,14004.55,TechHardware Inc,SPORTS_CENTER
2023-01-13,17538.54,Academic Books Ltd,CAFETERIA
2023-01-13,545.76,PrintFast,CAFETERIA
2023-01-13,2729.43,TechHardware Inc,CAFETERIA
2023-01-13,47093.17,Academic Books Ltd,CS_DEPT
2023-01-13,10778.68,PrintFast,CS_DEPT
2023-01-13,28863.87,TechHardware Inc,CS_DEPT
2023-01-13,4413.91,Academic Books Ltd,LIBRARY
2023-01-13,4649.98,CleanIt All,LIBRARY
2023-01-13,695.39,TechHardware Inc,LIBRARY
2023-01-13,1829.89,PrintFast,SPORTS_CENTER
2023-01-14,1255.63,Academic Books Ltd,CAFETERIA
2023-01-14,717.88,PrintFast,CAFETERIA
2023-01-14,593.07,PrintFast,CS_DEPT
2023-01-14,13536.62,TechHardware Inc,CS_DEPT
2023-01-14,535.07,Academic Books Ltd,LIBRARY
2023-01-14,1121.27,SportsGear Pro,LIBRARY
2023-01-14,30049.24,CleanIt All,SPORTS_CENTER
2023-01-14,38166.05,TechHardware Inc,SPORTS_CENTER
2023-01-14,20135.01,FreshFoods,SPORTS_CENTER
2023-01-15,2022.76,Academic Books Ltd,CAFETERIA
2023-01-15,999.71,PrintFast,CAFETERIA
2023-01-15,817.53,FreshFoods,CS_DEPT
2023-01-15,410.05,PrintFast,LIBRARY
2023-01-15,1196.48,TechHardware Inc,LIBRARY
2023-01-15,642.26,Academic Books Ltd,SPORTS_CENTER
2023-01-15,1633.21,TechHardware Inc,SPORTS_CENTER
2023-01-15,3061.91,FreshFoods,SPORTS_CENTER
2023-01-16,332.55,Academic Books Ltd,CAFETERIA
2023-01-16,2910.94,PrintFast,CAFETERIA
2023-01-16,7156.46,SportsGear Pro,CS_DEPT
2023-01-16,982.44,TechHardware Inc,CS_DEPT
2023-01-16,4559.73,Academic Books Ltd,LIBRARY
2023-01-16,3374.95,TechHardware Inc,LIBRARY
2023-01-16,1474.51,FreshFoods,LIBRARY
2023-01-16,4121.43,Academic Books Ltd,SPORTS_CENTER
2023-01-16,347.79,SportsGear Pro,SPORTS_CENTER
2023-01-16,2164.23,FreshFoods,SPORTS_CENTER
2023-01-17,2040.19,PrintFast,CAFETERIA
2023-01-17,1660.13,SportsGear Pro,CS_DEPT
2023-01-17,1347.72,CleanIt All,LIBRARY
2023-01-17,392.02,CleanIt All,SPORTS_CENTER
2023-01-17,766.49,TechHardware Inc,SPORTS_CENTER
2023-01-18,262.62,Academic Books Ltd,CAFETERIA
2023-01-18,1219.61,PrintFast,CAFETERIA
2023-01-18,1056.88,Academic Books Ltd,CS_DEPT
2023-01-18,1005.06,PrintFast,CS_DEPT
2023-01-18,3617.38,Academic Books Ltd,LIBRARY
2023-01-18,7845.36,PrintFast,LIBRARY
2023-01-18,704.53,CleanIt All,SPORTS_CENTER
2023-01-18,629.56,TechHardware Inc,SPORTS_CENTER
2023-01-19,2116.96,Academic Books Ltd,CAFETERIA
2023-01-19,311.76,CleanIt All,CAFETERIA
2023-01-19,2900.24,FreshFoods,CAFETERIA
2023-01-19,2789.84,CleanIt All,CS_DEPT
2023-01-19,3941.9,PrintFast,CS_DEPT
2023-01-19,4443.41,Academic Books Ltd,CS_DEPT
2023-01-19,5094.58,Academic Books Ltd,LIBRARY
2023-01-19,195.96,CleanIt All,LIBRARY
2023-01-19,3334.82,PrintFast,LIBRARY
2023-01-19,3407.92,SportsGear Pro,SPORTS_CENTER
2023-01-19,995.22,FreshFoods,SPORTS_CENTER
2023-01-20,2215.53,SportsGear Pro,CAFETERIA
2023-01-20,10072.59,TechHardware Inc,CAFETERIA
2023-01-20,8802.97,Academic Books Ltd,CS_DEPT
2023-01-20,4757.94,CleanIt All,CS_DEPT
2023-01-20,2804.27,PrintFast,CS_DEPT
2023-01-20,2462.47,PrintFast,LIBRARY
2023-01-20,2497.42,TechHardware Inc,LIBRARY
2023-01-20,20230.69,Academic Books Ltd,SPORTS_CENTER
2023-01-20,764.9,PrintFast,SPORTS_CENTER
2023-01-21,716.77,Academic Books Ltd,CAFETERIA
2023-01-21,3944.98,PrintFast,CAFETERIA
2023-01-21,4293.56,CleanIt All,CS_DEPT
2023-01-21,870.72,TechHardware Inc,CS_DEPT
2023-01-21,533.08,PrintFast,LIBRARY
2023-01-21,1098.08,CleanIt All,SPORTS_CENTER
2023-01-21,1745.09,TechHardware Inc,SPORTS_CENTER
2023-01-21,2145.9,FreshFoods,SPORTS_CENTER
2023-01-22,1567.58,Academic Books Ltd,CAFETERIA
2023-01-22,916.87,PrintFast,CAFETERIA
2023-01-22,1578.86,FreshFoods,CS_DEPT
2023-01-22,594.53,PrintFast,LIBRARY
2023-01-22,1569.25,TechHardware Inc,LIBRARY
2023-01-22,1526.21,PrintFast,SPORTS_CENTER
2023-01-22,5809.93,TechHardware Inc,SPORTS_CENTER
2023-01-23,1057.08,CleanIt All,CAFETERIA
2023-01-23,3979.87,TechHardware Inc,CAFETERIA
2023-01-23,6518.14,SportsGear Pro,CS_DEPT
2023-01-23,1503.56,PrintFast,CS_DEPT
2023-01-23,1585.3,TechHardware Inc,LIBRARY
2023-01-23,449.57,PrintFast,SPORTS_CENTER
2023-01-23,1283.41,TechHardware Inc,SPORTS_CENTER
2023-01-24,10808.0,Academic Books Ltd,CAFETERIA
2023-01-24,918.24,PrintFast,CAFETERIA
2023-01-24,1108.43,TechHardware Inc,CAFETERIA
2023-01-24,5581.5,CleanIt All,CS_DEPT
2023-01-24,891.95,PrintFast,CS_DEPT
2023-01-24,962.79,PrintFast,LIBRARY
2023-01-24,984.88,TechHardware Inc,LIBRARY
2023-01-24,2325.01,PrintFast,SPORTS_CENTER
2023-01-24,714.87,TechHardware Inc,SPORTS_CENTER
2023-01-25,995.06,PrintFast,CAFETERIA
2023-01-25,740.22,TechHardware Inc,CAFETERIA
2023-01-25,25612.85,PrintFast,CS_DEPT
2023-01-25,2835.95,PrintFast,LIBRARY
2023-01-25,565.64,TechHardware Inc,LIBRARY
2023-01-25,4090.04,PrintFast,SPORTS_CENTER
2023-01-25,2522.63,TechHardware Inc,SPORTS_CENTER
2023-01-26,6994.26,Academic Books Ltd,CAFETERIA
2023-01-26,1070.59,PrintFast,CAFETERIA
2023-01-26,2127.02,Academic Books Ltd,CS_DEPT
2023-01-26,2487.86,PrintFast,CS_DEPT
2023-01-26,4797.5,PrintFast,LIBRARY
2023-01-26,3929.17,Academic Books Ltd,SPORTS_CENTER
2023-01-26,909.04,PrintFast,SPORTS_CENTER
2023-01-27,1591.0,PrintFast,CAFETERIA
2023-01-27,4420.77,TechHardware Inc,CS_DEPT
2023-01-27,7391.52,Academic Books Ltd,LIBRARY
2023-01-27,774.19,SportsGear Pro,LIBRARY
2023-01-27,45517.14,FreshFoods,LIBRARY
2023-01-27,1264.44,Academic Books Ltd,SPORTS_CENTER
2023-01-27,5018.14,FreshFoods,SPORTS_CENTER
2023-01-28,2822.11,PrintFast,CAFETERIA
2023-01-28,495.71,TechHardware Inc,CAFETERIA
2023-01-28,2758.22,CleanIt All,CS_DEPT
2023-01-28,4355.1,PrintFast,CS_DEPT
2023-01-28,1202.12,Academic Books Ltd,LIBRARY
2023-01-28,1498.67,SportsGear Pro,LIBRARY
2023-01-28,15487.0,PrintFast,SPORTS_CENTER
2023-01-28,1772.0,Academic Books Ltd,SPORTS_CENTER
2023-01-28,1014.7,SportsGear Pro,SPORTS_CENTER
2023-01-29,8513.8,PrintFast,CAFETERIA
2023-01-29,11511.4,TechHardware Inc,CAFETERIA
2023-01-29,2022.51,SportsGear Pro,CS_DEPT
2023-01-29,13437.41,Academic Books Ltd,LIBRARY
2023-01-29,4740.95,PrintFast,LIBRARY
2023-01-29,683.92,CleanIt All,SPORTS_CENTER
2023-01-29,2566.15,SportsGear Pro,SPORTS_CENTER
2023-01-29,3646.89,FreshFoods,SPORTS_CENTER
2023-01-30,2141.26,Academic Books Ltd,CAFETERIA
2023-01-30,670.22,PrintFast,CAFETERIA
2023-01-30,1852.25,TechHardware Inc,CS_DEPT
2023-01-30,5312.73,CleanIt All,LIBRARY
2023-01-30,2279.22,PrintFast,LIBRARY
2023-01-30,585.59,TechHardware Inc,LIBRARY
2023-01-30,8529.25,PrintFast,SPORTS_CENTER
2023-01-31,4809.11,Academic Books Ltd,CAFETERIA
2023-01-31,1587.68,SportsGear Pro,CAFETERIA
2023-01-31,17538.45,CleanIt All,CS_DEPT
2023-01-31,430.12,TechHardware Inc,CS_DEPT
2023-01-31,803.16,CleanIt All,LIBRARY
2023-01-31,611.6,CleanIt All,SPORTS_CENTER
2023-02-01,993.38,CleanIt All,CAFETERIA
2023-02-01,1902.77,Academic Books Ltd,CAFETERIA
2023-02-01,940.0,Academic Books Ltd,CS_DEPT
2023-02-01,3470.56,PrintFast,CS_DEPT
2023-02-01,923.86,FreshFoods,LIBRARY
2023-02-01,1717.04,PrintFast,SPORTS_CENTER
2023-02-01,1252.76,TechHardware Inc,SPORTS_CENTER
2023-02-02,6988.82,PrintFast,CAFETERIA
2023-02-02,8347.29,FreshFoods,CAFETERIA
2023-02-02,958.94,PrintFast,CS_DEPT
2023-02-02,711.63,TechHardware Inc,CS_DEPT
2023-02-02,6649.63,Academic Books Ltd,LIBRARY
2023-02-02,903.37,PrintFast,LIBRARY
2023-02-02,1751.1,PrintFast,SPORTS_CENTER
2023-02-02,3849.96,TechHardware Inc,SPORTS_CENTER
2023-02-03,2190.02,Academic Books Ltd,CAFETERIA
2023-02-03,2054.47,CleanIt All,CAFETERIA
2023-02-03,180.44,PrintFast,CAFETERIA
2023-02-03,1053.25,CleanIt All,CS_DEPT
2023-02-03,2447.47,PrintFast,CS_DEPT
2023-02-03,4598.33,TechHardware Inc,CS_DEPT
2023-02-03,1819.57,Academic Books Ltd,LIBRARY
2023-02-03,3001.46,PrintFast,LIBRARY
2023-02-03,5656.14,Academic Books Ltd,SPORTS_CENTER
2023-02-03,815.96,PrintFast,SPORTS_CENTER
2023-02-04,1438.82,Academic Books Ltd,CAFETERIA
2023-02-04,2657.91,PrintFast,CAFETERIA
2023-02-04,3008.99,TechHardware Inc,CS_DEPT
2023-02-04,699.92,FreshFoods,CS_DEPT
2023-02-04,5037.25,Academic Books Ltd,LIBRARY
2023-02-04,686.05,PrintFast,LIBRARY
2023-02-04,826.81,PrintFast,SPORTS_CENTER
2023-02-04,1639.53,TechHardware Inc,SPORTS_CENTER
2023-02-05,3504.85,Academic Books Ltd,CAFETERIA
2023-02-05,1832.39,Academic Books Ltd,CS_DEPT
2023-02-05,9369.64,CleanIt All,CS_DEPT
2023-02-05,5083.23,SportsGear Pro,CS_DEPT
2023-02-05,13934.67,Academic Books Ltd,LIBRARY
2023-02-05,1419.35,PrintFast,LIBRARY
2023-02-05,5126.75,CleanIt All,SPORTS_CENTER
2023-02-05,2792.52,PrintFast,SPORTS_CENTER
2023-02-05,2179.78,FreshFoods,SPORTS_CENTER
2023-02-06,1444.44,Academic Books Ltd,CAFETERIA
2023-02-06,947.88,PrintFast,CAFETERIA
2023-02-06,513.5,PrintFast,CS_DEPT
2023-02-06,9634.28,TechHardware Inc,CS_DEPT
2023-02-06,1077.33,SportsGear Pro,LIBRARY
2023-02-06,6604.1,TechHardware Inc,LIBRARY
2023-02-06,1637.51,CleanIt All,SPORTS_CENTER
2023-02-06,1095.75,SportsGear Pro,SPORTS_CENTER
2023-02-06,2700.22,FreshFoods,SPORTS_CENTER
2023-02-07,743.15,PrintFast,CAFETERIA
2023-02-07,3525.43,TechHardware Inc,CAFETERIA
2023-02-07,5324.09,Academic Books Ltd,CS_DEPT
2023-02-07,1237.58,PrintFast,CS_DEPT
2023-02-07,2482.26,PrintFast,LIBRARY
2023-02-07,401.76,TechHardware Inc,LIBRARY
2023-02-07,439.97,FreshFoods,LIBRARY
2023-02-07,2527.03,PrintFast,SPORTS_CENTER
2023-02-07,1964.35,SportsGear Pro,SPORTS_CENTER
2023-02-07,1220.78,TechHardware Inc,SPORTS_CENTER
2023-02-08,847.7,Academic Books Ltd,CAFETERIA
2023-02-08,1085.7,SportsGear Pro,CAFETERIA
2023-02-08,1114.7,PrintFast,CS_DEPT
2023-02-08,6066.79,TechHardware Inc,CS_DEPT
2023-02-08,3224.2,SportsGear Pro,LIBRARY
2023-02-08,6491.02,Academic Books Ltd,SPORTS_CENTER
2023-02-08,578.75,PrintFast,SPORTS_CENTER
2023-02-09,502.04,PrintFast,CAFETERIA
2023-02-09,716.65,FreshFoods,CAFETERIA
2023-02-09,4598.88,Academic Books Ltd,CS_DEPT
2023-02-09,7717.13,CleanIt All,CS_DEPT
2023-02-09,1285.91,FreshFoods,CS_DEPT
2023-02-09,3609.2,Academic Books Ltd,LIBRARY
2023-02-09,1233.23,PrintFast,LIBRARY
2023-02-09,773.5,CleanIt All,SPORTS_CENTER
2023-02-09,923.89,PrintFast,SPORTS_CENTER
2023-02-09,2120.97,SportsGear Pro,SPORTS_CENTER
2023-02-10,1442.93,PrintFast,CAFETERIA
2023-02-10,5831.73,TechHardware Inc,CAFETERIA
2023-02-10,3517.1,FreshFoods,CAFETERIA
2023-02-10,1407.89,Academic Books Ltd,CS_DEPT
2023-02-10,863.04,PrintFast,CS_DEPT
2023-02-10,927.61,CleanIt All,LIBRARY
2023-02-10,1172.97,TechHardware Inc,LIBRARY
2023-02-10,2688.97,Academic Books Ltd,LIBRARY
2023-02-10,4225.76,FreshFoods,SPORTS_CENTER
2023-02-11,315.68,SportsGear Pro,CAFETERIA
2023-02-11,1582.74,FreshFoods,CS_DEPT
2023-02-11,1124.94,Academic Books Ltd,LIBRARY
2023-02-11,2242.67,PrintFast,LIBRARY
2023-02-11,2777.34,CleanIt All,SPORTS_CENTER
2023-02-11,949.78,PrintFast,SPORTS_CENTER
2023-02-11,537.28,FreshFoods,SPORTS_CENTER
2023-02-12,2434.66,Academic Books Ltd,CAFETERIA
2023-02-12,5934.48,PrintFast,CAFETERIA
2023-02-12,1622.65,TechHardware Inc,CS_DEPT
2023-02-12,239.59,PrintFast,LIBRARY
2023-02-12,3070.06,TechHardware Inc,LIBRARY
2023-02-12,678.15,Academic Books Ltd,SPORTS_CENTER
2023-02-12,1109.06,PrintFast,SPORTS_CENTER
2023-02-13,2074.52,Academic Books Ltd,CAFETERIA
2023-02-13,1106.05,Academic Books Ltd,CS_DEPT
2023-02-13,3740.58,CleanIt All,CS_DEPT
2023-02-13,8665.03,SportsGear Pro,CS_DEPT
2023-02-13,1082.62,Academic Books Ltd,LIBRARY
2023-02-13,1169.13,PrintFast,LIBRARY
2023-02-13,1734.57,Academic Books Ltd,SPORTS_CENTER
2023-02-13,3098.61,CleanIt All,SPORTS_CENTER
2023-02-13,2624.15,PrintFast,SPORTS_CENTER
2023-02-14,3309.9,PrintFast,CAFETERIA
2023-02-14,5291.19,TechHardware Inc,CAFETERIA
2023-02-14,961.46,Academic Books Ltd,CS_DEPT
2023-02-14,2281.14,PrintFast,CS_DEPT
2023-02-14,5544.02,SportsGear Pro,LIBRARY
2023-02-14,10634.61,TechHardware Inc,LIBRARY
2023-02-14,7678.31,FreshFoods,LIBRARY
2023-02-14,997.04,PrintFast,SPORTS_CENTER
2023-02-14,999.56,TechHardware Inc,SPORTS_CENTER
2023-02-15,1644.47,TechHardware Inc,CAFETERIA
2023-02-15,295.17,FreshFoods,CAFETERIA
2023-02-15,2868.45,PrintFast,CS_DEPT
2023-02-15,1710.82,Academic Books Ltd,LIBRARY
2023-02-15,6383.53,PrintFast,LIBRARY
2023-02-15,3048.66,Academic Books Ltd,SPORTS_CENTER
2023-02-15,2583.38,PrintFast,SPORTS_CENTER
2023-02-16,3612.83,CleanIt All,CAFETERIA
2023-02-16,954.25,SportsGear Pro,CAFETERIA
2023-02-16,10286.01,Academic Books Ltd,CS_DEPT
2023-02-16,2033.93,PrintFast,CS_DEPT
2023-02-16,5495.86,PrintFast,LIBRARY
