date,amount,vendor,mess
2024-01-03,4820,FRESH FARMS,Mess A
2024-01-05,3150,GRAIN MART,Mess B
2024-01-07,7200,SPICE VALLEY,Mess A
2024-01-09,2980,FRESH FARMS,Mess C
2024-01-11,5640,DAIRY PLUS,Mess B
2024-01-14,8100,GRAIN MART,Mess A
2024-01-16,3470,VEGGIE HUB,Mess C
2024-01-18,6250,SPICE VALLEY,Mess B
2024-01-21,4390,DAIRY PLUS,Mess A
2024-01-23,9800,FRESH FARMS,Mess C
2024-01-25,3100,GRAIN MART,Mess B
2024-01-28,5520,VEGGIE HUB,Mess A
2024-01-30,7340,SPICE VALLEY,Mess C
2024-02-02,4100,DAIRY PLUS,Mess B
2024-02-04,6780,FRESH FARMS,Mess A
2024-02-06,3920,GRAIN MART,Mess C
2024-02-08,5200,VEGGIE HUB,Mess B
2024-02-11,8450,SPICE VALLEY,Mess A
2024-02-13,2750,DAIRY PLUS,Mess C
2024-02-15,6100,FRESH FARMS,Mess B
2024-02-17,4330,GRAIN MART,Mess A
2024-02-19,7890,VEGGIE HUB,Mess C
2024-02-22,3600,SPICE VALLEY,Mess B
2024-02-24,5480,DAIRY PLUS,Mess A
2024-02-26,9200,FRESH FARMS,Mess C
2024-02-28,4010,GRAIN MART,Mess B
2024-03-02,6670,VEGGIE HUB,Mess A
2024-03-04,3850,SPICE VALLEY,Mess C
2024-03-06,5120,DAIRY PLUS,Mess B
2024-03-08,7600,FRESH FARMS,Mess A
2024-03-11,4240,GRAIN MART,Mess C
2024-03-13,8900,VEGGIE HUB,Mess B
2024-03-15,3310,SPICE VALLEY,Mess A
2024-03-18,6050,DAIRY PLUS,Mess C
2024-03-20,4780,FRESH FARMS,Mess B
2024-03-22,7130,GRAIN MART,Mess A
2024-03-25,5390,VEGGIE HUB,Mess C
2024-03-27,9450,SPICE VALLEY,Mess B
2024-03-29,3670,DAIRY PLUS,Mess A
2024-04-01,6200,FRESH FARMS,Mess C
2024-04-03,4560,GRAIN MART,Mess B
2024-04-05,8020,VEGGIE HUB,Mess A
2024-04-08,3180,SPICE VALLEY,Mess C
2024-04-10,5870,DAIRY PLUS,Mess B
2024-04-12,7450,FRESH FARMS,Mess A
2024-04-15,4090,GRAIN MART,Mess C
2024-04-17,6730,VEGGIE HUB,Mess B
2024-04-19,3540,SPICE VALLEY,Mess A
2024-04-22,8670,DAIRY PLUS,Mess C
2024-04-24,5010,FRESH FARMS,Mess B
2024-04-26,7280,GRAIN MART,Mess A
2024-04-29,4420,VEGGIE HUB,Mess C
2024-05-02,6590,SPICE VALLEY,Mess B
2024-05-04,3760,DAIRY PLUS,Mess A
2024-05-06,8340,FRESH FARMS,Mess C
2024-05-09,4950,GRAIN MART,Mess B
2024-05-11,7110,VEGGIE HUB,Mess A
2024-05-13,3290,SPICE VALLEY,Mess C
2024-05-15,5830,DAIRY PLUS,Mess B
2024-05-18,9120,FRESH FARMS,Mess A
2024-05-20,4170,GRAIN MART,Mess C
2024-05-22,6840,VEGGIE HUB,Mess B
2024-05-25,3430,SPICE VALLEY,Mess A
2024-05-27,7960,DAIRY PLUS,Mess C
2024-05-29,5250,FRESH FARMS,Mess B
2024-06-01,8580,GRAIN MART,Mess A
2024-06-03,3890,VEGGIE HUB,Mess C
2024-06-05,6320,SPICE VALLEY,Mess B
2024-06-08,4640,DAIRY PLUS,Mess A
2024-06-10,7750,FRESH FARMS,Mess C
2024-06-12,3070,GRAIN MART,Mess B
2024-06-15,5490,VEGGIE HUB,Mess A
2024-06-17,8810,SPICE VALLEY,Mess C
2024-06-19,4200,DAIRY PLUS,Mess B
2024-06-22,6960,FRESH FARMS,Mess A
2024-06-24,3580,GRAIN MART,Mess C
2024-06-26,7390,VEGGIE HUB,Mess B
2024-06-29,5020,SPICE VALLEY,Mess A
2024-07-01,9300,DAIRY PLUS,Mess C
2024-07-03,4380,FRESH FARMS,Mess B
2024-07-06,6710,GRAIN MART,Mess A
2024-07-08,3150,VEGGIE HUB,Mess C
2024-07-10,8040,SPICE VALLEY,Mess B
2024-07-13,4870,DAIRY PLUS,Mess A
2024-07-15,7220,FRESH FARMS,Mess C
2024-07-17,3490,GRAIN MART,Mess B
2024-07-20,5960,VEGGIE HUB,Mess A
2024-07-22,8430,SPICE VALLEY,Mess C
2024-07-24,4110,DAIRY PLUS,Mess B
2024-07-27,6780,FRESH FARMS,Mess A
2024-07-29,3820,GRAIN MART,Mess C
2024-08-01,7050,VEGGIE HUB,Mess B
2024-08-03,5300,SPICE VALLEY,Mess A
2024-08-06,9600,DAIRY PLUS,Mess C
2024-08-08,4450,FRESH FARMS,Mess B
2024-08-10,6890,GRAIN MART,Mess A
2024-08-13,3240,VEGGIE HUB,Mess C
2024-08-15,7720,SPICE VALLEY,Mess B
2024-08-17,4980,DAIRY PLUS,Mess A
2024-08-20,38500,GRAIN MART,Mess B
