date,mess_unit,vendor_name,category,amount,payment_mode,bill_no,transaction_id
2024-01-01,CDH-1,KRISHNA VEG SUPPLY,vegetables,9300.0,NEFT,BILL-20240101-1001,TXN01001
2024-01-01,CDH-1,SARAVANA VEG TRADERS,vegetables,10200.0,NEFT,BILL-20240101-1003,TXN01002
2024-01-01,CDH-1,AAVIN DAIRY SUPPLIES,dairy,9400.0,NEFT,BILL-20240101-1004,TXN01003
2024-01-01,CDH-1,KAVERI RICE MILLS,grains,42800.0,RTGS,BILL-20240101-1005,TXN01004
2024-01-01,CDH-1,PADMAVATHI GRAIN STORE,grains,29100.0,NEFT,BILL-20240101-1006,TXN01005
2024-01-01,CDH-2,KRISHNA VEG SUPPLY,vegetables,5700.0,NEFT,BILL-20240101-1007,TXN01006
2024-01-01,HOSTEL-C,KRISHNA VEG SUPPLY,vegetables,4800.0,NEFT,BILL-20240101-1032,TXN01007
2024-01-01,CDH-2,AAVIN DAIRY SUPPLIES,dairy,8900.0,Cheque,BILL-20240101-1010,TXN01008
2024-01-01,CDH-2,KAVERI RICE MILLS,grains,41400.0,NEFT,BILL-20240101-1011,TXN01009
2024-01-01,CDH-2,PADMAVATHI GRAIN STORE,grains,35200.0,NEFT,BILL-20240101-1012,TXN01010
2024-01-01,CDH-3,KRISHNA VEG SUPPLY,vegetables,6400.0,NEFT,BILL-20240101-1013,TXN01011
2024-01-01,CDH-3,GREEN FARM FRESH,vegetables,6700.0,NEFT,BILL-20240101-1014,TXN01012
2024-01-01,CDH-3,SARAVANA VEG TRADERS,vegetables,11200.0,Cheque,BILL-20240101-1015,TXN01013
2024-01-01,CDH-3,AAVIN DAIRY SUPPLIES,dairy,17200.0,NEFT,BILL-20240101-1016,TXN01014
2024-01-01,CDH-1,GREEN FARM FRESH,vegetables,6600.0,NEFT,BILL-20240101-1002,TXN01015
2024-01-01,CDH-2,SARAVANA VEG TRADERS,vegetables,11800.0,NEFT,BILL-20240101-1009,TXN01016
2024-01-01,CDH-3,KAVERI RICE MILLS,grains,49000.0,NEFT,BILL-20240101-1017,TXN01017
2024-01-01,HOSTEL-B,KAVERI RICE MILLS,grains,16100.0,NEFT,BILL-20240101-1030,TXN01018
2024-01-01,HOSTEL-B,AAVIN DAIRY SUPPLIES,dairy,17500.0,NEFT,BILL-20240101-1029,TXN01019
2024-01-01,HOSTEL-B,SARAVANA VEG TRADERS,vegetables,3400.0,NEFT,BILL-20240101-1028,TXN01020
2024-01-01,HOSTEL-B,KRISHNA VEG SUPPLY,vegetables,4900.0,NEFT,BILL-20240101-1026,TXN01021
2024-01-01,HOSTEL-A,PADMAVATHI GRAIN STORE,grains,37900.0,RTGS,BILL-20240101-1025,TXN01022
2024-01-01,HOSTEL-B,GREEN FARM FRESH,vegetables,8100.0,NEFT,BILL-20240101-1027,TXN01023
2024-01-01,HOSTEL-A,KAVERI RICE MILLS,grains,43100.0,NEFT,BILL-20240101-1024,TXN01024
2024-01-01,HOSTEL-A,AAVIN DAIRY SUPPLIES,dairy,15000.0,Cheque,BILL-20240101-1023,TXN01025
2024-01-01,HOSTEL-A,DESI SABZI CENTRE,vegetables,5600.0,NEFT,BILL-20240101-1022,TXN01026
2024-01-01,HOSTEL-A,SARAVANA VEG TRADERS,vegetables,4500.0,RTGS,BILL-20240101-1021,TXN01027
2024-01-01,HOSTEL-A,GREEN FARM FRESH,vegetables,9600.0,NEFT,BILL-20240101-1020,TXN01028
2024-01-01,HOSTEL-A,KRISHNA VEG SUPPLY,vegetables,3700.0,NEFT,BILL-20240101-1019,TXN01029
2024-01-01,CDH-3,PADMAVATHI GRAIN STORE,grains,27700.0,NEFT,BILL-20240101-1018,TXN01030
2024-01-01,HOSTEL-B,PADMAVATHI GRAIN STORE,grains,14900.0,Cheque,BILL-20240101-1031,TXN01031
2024-01-01,CDH-2,GREEN FARM FRESH,vegetables,2700.0,NEFT,BILL-20240101-1008,TXN01032
2024-01-01,HOSTEL-C,GREEN FARM FRESH,vegetables,6500.0,NEFT,BILL-20240101-1033,TXN01033
2024-01-01,HOSTEL-C,ANNAPOORNA VEGETABLES,vegetables,5600.0,NEFT,BILL-20240101-1035,TXN01034
2024-01-01,HOSTEL-C,AAVIN DAIRY SUPPLIES,dairy,8900.0,Cheque,BILL-20240101-1036,TXN01035
2024-01-01,HOSTEL-C,KAVERI RICE MILLS,grains,46200.0,NEFT,BILL-20240101-1037,TXN01036
2024-01-01,HOSTEL-C,PADMAVATHI GRAIN STORE,grains,28600.0,NEFT,BILL-20240101-1038,TXN01037
2024-01-01,HOSTEL-D,KRISHNA VEG SUPPLY,vegetables,4400.0,Cheque,BILL-20240101-1039,TXN01038
2024-01-01,HOSTEL-D,SARAVANA VEG TRADERS,vegetables,7600.0,RTGS,BILL-20240101-1041,TXN01039
2024-01-01,HOSTEL-D,AAVIN DAIRY SUPPLIES,dairy,9600.0,NEFT,BILL-20240101-1042,TXN01040
2024-01-01,HOSTEL-D,GREEN FARM FRESH,vegetables,10600.0,NEFT,BILL-20240101-1040,TXN01041
2024-01-01,HOSTEL-D,PADMAVATHI GRAIN STORE,grains,31600.0,Cheque,BILL-20240101-1044,TXN01042
