date,amount,vendor,classes
2023-01-01,30071.15,Daily Fresh Milk,CANTEEN
2023-01-01,1647.54,Baker Choice,CANTEEN
2023-01-01,8710.2,Spice World,GUEST HOUSE
2023-01-01,38079.54,Wholesale Flour,GUEST HOUSE
2023-01-01,7949.8,C H M Traders Nandini,MESS 1
2023-01-01,3741.88,Milan Agencies,MESS 1
2023-01-01,3827.81,Priya Vegitables Chalai,MESS 2
2023-01-01,1434.72,Amma Vegitables,MESS 2
2023-01-02,2991.6,Priya Vegitables Chalai,CANTEEN
2023-01-02,1490.06,Amma Vegitables,CANTEEN
2023-01-02,3956.91,Spice World,GUEST HOUSE
2023-01-02,3693.61,Milan Agencies,GUEST HOUSE
2023-01-02,5551.64,Daily Fresh Milk,MESS 1
2023-01-02,2394.17,Baker Choice,MESS 1
2023-01-02,3267.1,Daily Fresh Milk,MESS 2
2023-01-02,2013.59,Baker Choice,MESS 2
2023-01-03,6938.62,Daily Fresh Milk,CANTEEN
2023-01-03,4162.39,Baker Choice,CANTEEN
2023-01-03,7069.62,C H M Traders Nandini,GUEST HOUSE
2023-01-03,2428.42,Milan Agencies,GUEST HOUSE
2023-01-03,51645.73,Daily Fresh Milk,MESS 1
2023-01-03,2545.64,City Meat Center,MESS 1
2023-01-03,18103.52,Spice World,MESS 2
2023-01-04,959.3,C H M Traders Nandini,CANTEEN
2023-01-04,3922.8,Milan Agencies,CANTEEN
2023-01-04,1956.96,Wholesale Flour,GUEST HOUSE
2023-01-04,20288.59,Milan Agencies,GUEST HOUSE
2023-01-04,52843.99,Spice World,MESS 1
2023-01-04,2032.44,Wholesale Flour,MESS 1
2023-01-04,2062.93,C H M Traders Nandini,MESS 2
2023-01-04,841.14,Milan Agencies,MESS 2
2023-01-05,6541.45,Spice World,CANTEEN
2023-01-05,2607.55,Daily Fresh Milk,CANTEEN
2023-01-05,22666.02,C H M Traders Nandini,GUEST HOUSE
2023-01-05,7390.24,Milan Agencies,GUEST HOUSE
2023-01-05,23233.07,Baker Choice,MESS 1
2023-01-05,690.24,Blue Water Supplies,MESS 1
2023-01-05,14358.17,Milan Agencies,MESS 1
2023-01-05,835.83,Farm Fresh Poultry,MESS 2
2023-01-06,786.56,Daily Fresh Milk,CANTEEN
2023-01-06,9449.21,Baker Choice,CANTEEN
2023-01-06,1589.13,Spice World,GUEST HOUSE
2023-01-06,4344.87,Wholesale Flour,GUEST HOUSE
2023-01-06,5260.99,Wholesale Flour,MESS 1
2023-01-06,4103.6,Blue Water Supplies,MESS 1
2023-01-06,1549.54,Clean & Clear Services,MESS 1
2023-01-06,3965.78,Spice World,MESS 2
2023-01-07,3019.51,Daily Fresh Milk,CANTEEN
2023-01-07,1440.31,Baker Choice,CANTEEN
2023-01-07,1772.92,Priya Vegitables Chalai,GUEST HOUSE
2023-01-07,13770.1,Amma Vegitables,GUEST HOUSE
2023-01-07,27029.66,C H M Traders Nandini,MESS 1
2023-01-07,1239.71,Milan Agencies,MESS 1
2023-01-07,3426.97,City Meat Center,MESS 2
2023-01-07,5310.71,Blue Water Supplies,MESS 2
2023-01-07,635.01,General Provision Store,MESS 2
